Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Runtime (min),US ($mill)
Friday,Christopher McQuarrie,action,Jack Reacher,21/12/2012,Paramount Pictures,226.1,60,218.3,7,3.46,130,80.1
Friday,Dennis Dugan,comedy,Just Go With It,11/02/2011,Sony,227.2,80,214.9,6.4,3.17,117,103
Friday,Robert Luketic,comedy,The Ugly Truth,24/07/2009,Sony,227.6,38,205.3,6.5,3.21,96,88.9
Friday,Jake Kasdan,comedy,Bad Teacher,24/06/2011,Sony,228.6,19,216.2,5.7,2.96,92,100.3
Wednesday,Tate Taylor,drama,The Help,10/08/2011,Buena Vista Studios,229,25,216.6,8.1,3.93,146,169.7
Friday,Todd Phillips,comedy,Due Date,05/11/2010,WB,231,65,211.8,6.6,3.17,95,100.5
Friday,Tommy Wirkola,action,Hansel and Gretel: Witch Hunters,25/01/2013,Paramount Pictures,231,50,226.3,6.1,2.9,88,55.7
Friday,Adam Shankman,musical,Hairspray (2007),20/07/2007,New Line Cinema,232.3,75,202.5,6.8,3.44,117,118.9
Friday,Martin Campbell,action,Green Lantern,17/06/2011,WB,232.5,200,219.9,5.7,2.87,114,116.6
Wednesday,Baz Luhrmann,adventure,Australia,26/11/2008,Fox,233.4,78,211.3,7.6,3.5,165,49.6
Friday,Neill Blomkamp,sci-fi,District 9,14/08/2009,TriStar,233.7,30,210.8,8,3.87,112,115.6
Friday,Paul Feig,action,The Heat,28/06/2013,Fox,234.7,43,229.9,6.6,4.07,117,159.6
Wednesday,Jon Turteltaub,action,The Sorcerer's Apprentice,14/07/2010,Buena Vista Studios,234.8,160,215.3,7.1,3.48,109,63.2
Thursday,Adam Shankman,comedy,Bedtime Stories,25/12/2008,Buena Vista Studios,235.2,80,212.9,6.1,3.12,99,110.1
Friday,Garry Marshall,comedy,Valentine's Day,12/02/2010,WB,236.1,52,216.5,5.8,3,125,110.5
Wednesday,Michael Mann,biography,Public Enemies,01/07/2009,Universal,237.3,102.5,214.1,7,3.36,140,97.1
Friday,Brian Grant,crime,Immortals,11/11/2011,Relativity Media,239.9,75,226.9,6.1,2.93,98,83.5
Friday,Ben Affleck,drama,Argo,12/10/2012,WB,240.6,44.5,232.3,7.8,3.9,120,136
Friday,Michel Gondry,action,The Green Hornet,14/01/2011,Sony,240.8,110,227.8,5.9,2.97,119,98.8
Friday,Peyton Reed,comedy,The Break-Up,02/06/2006,Universal,241.8,52,205,5.8,2.94,106,118.7
Friday,Nancy Meyers,comedy,The Holiday,08/12/2006,Sony,241.9,85,205.1,6.9,3.53,138,63.2
Friday,Tom Vaughan,comedy,What Happens in Vegas,09/05/2008,Fox,242.3,35,219.4,7.3,3.51,99,80.3
Friday,Nancy Meyers,comedy,It's Complicated,25/12/2009,Universal,242.9,75,219.1,6.6,2.5,120,112.7
Friday,"Hayden Schlossberg, Jon Hurwitz",comedy,American Reunion,06/04/2012,Universal,243.4,50,235,6.8,3.17,113,57
Wednesday,Jose Padilha,sci-fi,RoboCop,12/02/2014,Sony,243.8,120,242.7,7.1,3.34,117,58.6
Friday,Klay Hall,animation,Planes,09/08/2013,Buena Vista Studios,244.3,50,239.3,5.7,2.86,91,90.3
Friday,Brett Ratner,action,Hercules (2015),25/07/2014,Paramount Pictures,244.5,100,243.4,6.1,3.33,98,72.7
Friday,David O. Russell,romance,Silver Linings Playbook,16/11/2012,Weinstein Company,244.9,21,236.4,7.8,3.86,122,132.1
Friday,David Fincher,biography,The Social Network,01/10/2010,Sony,245.3,40,224.9,7.8,3.67,120,97
Thursday,Doug Liman,action,Jumper,14/02/2008,Fox,245.4,82.5,222.2,6.1,2.98,88,80.2
Tuesday,David Fincher,crime,The Girl with the Dragon Tattoo (2011),20/12/2011,Sony,245.9,90,232.6,7.9,3.87,158,102.5
Wednesday,Dean Parisot,comedy,Fun with Dick and Jane,21/12/2005,Sony,246,140,202,6.1,3,90,110.3
Friday,Peyton Reed,comedy,Yes Man,19/12/2008,WB,246.5,50,223.2,6.9,3.46,104,97.7
Friday,Chris Columbus,fantasy,Percy Jackson & The Olympians: The Lightning Thief,12/02/2010,Fox,247,95,226.5,5.9,3.01,118,88.8
Friday,Paul W.S. Anderson,action,Resident Evil: Retribution,14/09/2012,Screen Gems,248.8,65,240.2,5.3,3,96,42.3
Friday,M. Night Shyamalan,action,After Earth,31/05/2013,Sony,248.9,130,243.8,4.9,2.43,100,60.5
Friday,Judd Apatow,comedy,Knocked Up,01/06/2007,Universal,251.3,27.5,219.1,7.1,3.59,129,148.8
Friday,Pierre Morel,action,Taken,30/01/2009,Fox,251.4,25,226.8,7.9,3.85,93,145
Friday,Dennis Dugan,comedy,Grown Ups 2,12/07/2013,Sony,252.1,80,247,5.4,2.34,101,133.7
Friday,Peter Hewitt,comedy,Garfield: The Movie,11/06/2004,Fox,252.8,50,200.8,4.9,2.27,80,75.4
Friday,Tim Burton,comedy,Dark Shadows,11/05/2012,WB,254.3,150,245.5,6.2,3.03,113,79.7
Friday,Peter Segal,action,Get Smart,20/06/2008,WB,254.8,80,230.7,6.5,3.27,110,130.3
Wednesday,Antoine Fuqua,action,King Arthur,07/07/2004,Buena Vista Studios,256.3,90,203.6,6.3,3.05,126,51.9
Friday,David O. Russell,drama,American Hustle,13/12/2013,Sony,256.4,40,251.2,6.3,2.81,138,150.1
Friday,John R. Leonetti,horror,Annabelle,03/10/2014,WB/New Line,256.5,6.5,255.3,5.4,2.41,99,84.3
Friday,Scott Derrickson,drama,The Day the Earth Stood Still (2008),12/12/2008,Fox,257.5,80,233.1,5.5,2.81,104,79.4
Friday,Ridley Scott,action,Kingdom of Heaven,06/05/2005,Fox,257.8,110,211.7,7.2,3.47,145,47.4
Saturday,Rob Letterman,adventure,Gulliver's Travels,25/12/2010,Fox,258.9,112,237.4,4.9,2.53,85,42.8
Friday,Paul King,comedy,Paddington,16/01/2015,StudioCanal,259.5,55,259.5,7.3,2.89,95,76.2
Friday,Gore Verbinski,animation,Rango,04/03/2011,Paramount Pictures,259.8,135,245.7,7.3,3.51,107,123.5
Friday,Mark Steven Johnson,action,Ghost Rider,16/02/2007,Sony,262.4,120,228.7,5.2,2.19,114,115.8
Friday,Brad Silberling,adventure,Lemony Snicket's A Series of Unfortunate Events,17/12/2004,Paramount Pictures,263.2,100,209.1,6.8,3.37,108,118.6
Friday,Steve Bendelack,comedy,Mr. Bean's Holiday,24/08/2007,Universal,263.5,25,229.7,6.3,2.84,90,33.3
Wednesday,Jason Reitman,comedy,Juno,05/12/2007,Fox Searchlight Pictures,265.5,7,231.4,6.3,2.97,96,143.5
Tuesday,Gore Verbinski,action,The Lone Ranger,02/07/2013,Buena Vista Studios,265.9,225,260.5,6.5,3.03,149,89.3
Friday,Pete Docter,animation,Inside Out,19/06/2015,Buena Vista Studios,266.6,175,266.6,8.8,4.15,102,185.1
Friday,Eric Brevig,action,Journey to the Center of the Earth,11/07/2008,WB/New Line,267.3,45,242,5.8,2.87,93,101.7
Thursday,David Frankel,comedy,Marley and Me,25/12/2008,Fox,268.1,60,242.7,6.2,2.96,115,143.2
Friday,Clark Johnson,action,S.W.A.T.,08/08/2003,Sony,268.4,70,207.7,6,3.01,117,116.9
Friday,Martin Scorsese,biography,The Aviator,17/12/2004,MiraMax,269,110,213.7,7.5,3.61,170,102.6
Friday,Ridley Scott,action,Exodus: Gods and Kings,12/12/2014,Fox,269.2,140,268,6.1,2.66,150,65
Friday,"Phil Lord, Chris Miller",animation,Cloudy with a Chance of Meatballs,18/09/2009,Sony,269.4,100,243,7,3.49,90,124.9
Friday,Nicholas Stoller,comedy,Neighbors,09/05/2014,Universal,269.4,18,268.2,6.4,3.09,97,150.2
Wednesday,Lawrence Guterman,action,Cats & Dogs,04/07/2001,WB,269.5,60,200.7,5.2,2.7,87,93.4
Wednesday,Dany Boon,drama,Bienvenue chez les Ch'tis,20/02/2008,Path_ Distribution,270.7,15.3,245.1,7.1,3.75,106,0
Friday,Robert Schwentke,action,Flightplan,23/09/2005,Buena Vista Studios,272,55,223.4,6.2,3.08,98,89.7
Wednesday,Clint Eastwood,drama,Million Dollar Baby,15/12/2004,WB,272.9,30,216.8,8.1,3.87,132,100.5
Friday,Cameron Crowe,mystery,Vanilla Sky,14/12/2001,Paramount Pictures,273.1,70,203.4,6.9,3.36,136,100.6
Friday,Peter Weir,action,Master and Commander: The Far Side of the World,14/11/2003,Fox,274,135,212,7.4,3.64,138,93.9
Friday,Chris Wedge,animation,Epic,24/05/2013,Fox,274,100,268.4,6.7,1.49,102,107.5
Friday,Rob Minkoff,animation,Mr. Peabody & Sherman,07/03/2014,Fox,274.1,145,272.9,6.9,3.4,92,111.5
Friday,Michael Mann,crime,Collateral,06/08/2004,DreamWorks,274.2,60,217.8,7.6,3.7,120,101
Thursday,J. J. Abrams,thriller,Super 8,09/06/2011,Paramount Pictures,275,50,260.1,7.1,3.53,112,127
Wednesday,"Ethan Coen, Joel Coen",adventure,True Grit,22/12/2010,Paramount Pictures,275.2,35,252.3,7.7,3.87,110,171.2
Wednesday,Rawson Marshall Thurber,comedy,We're the Millers,07/08/2013,WB,275.6,37,270,7.1,3.43,110,150.4
Friday,Steven Spielberg,drama,The Terminal,18/06/2004,DreamWorks,276.2,75,219.4,6.1,3.18,128,77.9
Friday,Brett Ratner,crime,Red Dragon,04/10/2002,Universal,276.5,78,209.2,7.2,3.57,124,93.1
Friday,Elizabeth Banks,comedy,Pitch Perfect 2,15/05/2015,Universal,276.9,29,276.9,6.9,3.3,115,181.1
Friday,Rob Cohen,action,The Fast and the Furious,22/06/2001,Universal,278.4,38,207.3,6.7,3.16,106,144.5
Friday,Kenny Ortega,comedy,High School Musical 3: Senior Year,24/10/2008,Buena Vista Studios,279.3,11,252.9,4.3,2.33,112,90.6
Wednesday,Michael Moore,documentary,Fahrenheit 9/11,23/06/2004,Lionsgate Films,280,6,222.4,7.5,3.57,122,119.2
Friday,"Cody Cameron, Kris Pearn",animation,Cloudy with a Chance of Meatballs 2,27/09/2013,Sony,280,78,274.3,6.5,3.21,95,119.8
Friday,Frank Coraci,comedy,Click,23/06/2006,Revolution Studios,280.4,82.5,237.7,6.4,3.11,107,137.4
Friday,Francis Lawrence,fantasy,Constantine,18/02/2005,WB,281.2,100,230.9,7.6,3.35,121,76
Friday,Alejandro Amenˆbar,horror,The Others,10/08/2001,MiraMax,281.8,17,209.9,7.6,3.71,101,96.5
Friday,Doug Liman,action,The Bourne Identity,14/06/2002,Universal,282.9,60,214,7.9,3.9,119,121.7
Friday,Jon Favreau,comedy,Elf,07/11/2003,New Line Cinema,284.8,32,220.4,6.9,3.41,97,173.4
Friday,Steven Spielberg,biography,Lincoln,09/11/2012,Buena Vista Studios,285.1,65,275.3,7.4,3.74,150,182.2
Friday,David Zucker,comedy,Scary Movie 3,24/10/2003,Dimension Films,285.2,45,220.7,5.4,2.46,84,110
Wednesday,James Mangold,action,Knight & Day,23/06/2010,Fox,285.6,117,261.9,6.3,3.27,109,76.4
Friday,Tony Gilroy,action,The Bourne Legacy,10/08/2012,Universal,286,125,276.1,6.7,3.49,135,113.2
Friday,Hayao Miyazaki,animation,Howl's Moving Castle,10/06/2005,Buena Vista Studios,286.4,24,235.2,8.2,4.07,119,4.7
Wednesday,Steven Soderbergh,crime,Traffic,27/12/2000,USA,286.6,48,207.5,7.7,3.82,147,124.1
Wednesday,David Soren,animation,Turbo,17/07/2013,Fox,288.5,135,282.6,6.5,2.94,96,83
Wednesday,Kenny Ortega,documentary,Michael Jackson's This Is It,28/10/2009,Sony,289.5,60,261.2,7.6,3.37,111,72.1
Friday,Neil Burger,adventure,Divergent,21/03/2014,Lionsgate/Summit,290,85,288.7,6.8,3.41,139,150.9
Friday,Walt Becker,action,Wild Hogs,02/03/2007,Buena Vista Studios,290.9,60,253.6,5.9,2.79,100,168.3
Friday,Neill Blomkamp,action,Elysium,09/08/2013,TriStar,292.1,120,286.1,6.7,3.29,109,93.1
Friday,Joseph Kosinski,action,Oblivion,19/04/2013,Universal,292.2,120,286.2,7,3.5,124,89.1
Friday,Donald Petrie,comedy,Miss Congeniality,22/12/2000,WB,293.7,45,212.7,6.1,3.04,109,106.8
Friday,Tim Burton,fantasy,Sleepy Hollow,19/11/1999,Paramount Pictures,294.2,70,206.1,7.6,3.55,105,101.1
Friday,Stefen Fangmeier,action,Eragon,15/12/2006,Fox,294.3,100,249.5,5.1,2.63,104,75
Friday,Andrew Stanton,sci-fi,John Carter,09/03/2012,Buena Vista Studios,294.3,263.7,284.1,6.6,3.27,132,73.1
Friday,Ang Lee,action,"Crouching Tiger, Hidden Dragon",08/12/2000,Sony Picture Classics,294.8,15,213.5,7.9,3.9,120,128.1
Friday,Tom Shadyac,comedy,Patch Adams,25/12/1998,Universal,295.1,90,202.3,6.6,3.15,115,135
Friday,Robert Schwentke,action,The Divergent Series: Insurgent,20/03/2015,Lionsgate/Summit,295.1,110,295.1,6.9,3.17,119,130
Friday,Brett Ratner,action,Rush Hour 3,10/08/2007,New Line Cinema,296,180,258,6.2,2.97,91,140.1
Wednesday,"Ron Clements, John Musker",animation,The Princess and the Frog,25/11/2009,Buena Vista Studios,296,105,267,7.2,3.59,97,104.4
Friday,Dennis Dugan,comedy,Grown Ups,25/06/2010,Sony,296,75,271.4,6,2.81,102,162
Wednesday,Roland Emmerich,action,The Patriot,28/06/2000,Sony,297.3,110,215.3,6.1,3.22,165,113.3
Friday,Martin Campbell,action,Vertical Limit,08/12/2000,Sony,297.9,75,215.7,5.8,2.85,124,69.2
Friday,Roland Emmerich,action,"10,000 B.C.",07/03/2008,WB,298,105,269.8,5,2.53,109,94.8
Friday,Clint Eastwood,drama,Gran Torino,12/12/2008,WB,298.2,33,270,8.2,3.99,116,148.1
Friday,Jesse Dylan,comedy,American Wedding,01/08/2003,Universal,299.1,55,231.4,7.6,3.85,96,104.6
Friday,Sylvester Stallone,action,The Expendables,13/08/2010,Lionsgate,299.4,82,274.5,6.5,3.01,103,103.1
Wednesday,Peter Hyams,action,End of Days,24/11/1999,Universal,302.6,100,212,5.7,2.68,121,66.9
Friday,Jon Amiel,crime,Entrapment,30/04/1999,Fox,303.2,66,212.4,6.2,3.16,113,87.7
Friday,Florian Henckel von Donnersmarck,action,The Tourist,10/12/2010,Sony,303.5,100,278.3,6,3.08,103,67.6
Friday,Paul Feig,comedy,Bridesmaids,13/05/2011,Universal,304.9,32.5,288.4,6.8,3.53,125,169.1
Friday,John Singleton,action,2 Fast 2 Furious,06/06/2003,Universal,305.5,76,236.4,5.8,2.5,107,127.2
Friday,Ridley Scott,drama,American Gangster,02/11/2007,Universal,305.7,100,266.5,7.8,3.83,157,130.2
Friday,Zack Snyder,action,Superman,14/06/2013,WB,306.4,55,300.2,7.3,3.38,143,134.2
Friday,Larry Charles,comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,03/11/2006,Fox,308.6,18,261.6,7.3,3.5,84,128.5
Friday,Josh Boone,drama,The Fault in our Stars,06/06/2014,Fox,308.6,12,307.2,7.9,3.58,126,124.9
Wednesday,"Peter Lord, Nick Park",animation,Chicken Run,21/06/2000,DreamWorks,310.4,42,224.8,7.1,3.58,84,106.8
Thursday,John Moore,action,A Good Day to Die Hard,14/02/2013,Fox,311,92,304.7,5.3,2.59,98,67.3
Friday,"Paul Tibbitt, Mike Mitchell",animation,The SpongeBob Movie: Sponge Out of Water,06/02/2015,Paramount Pictures,311.6,74,311.6,6.2,2.25,92,163
Friday,Peter Berg,action,Battleship,18/05/2012,Universal,313.8,209,303,5.9,2.83,131,65.4
Thursday,Michael Patrick King,comedy,Sex and the City 2,27/05/2010,WB/New Line,314.4,95,288.3,4.2,2.32,146,95.3
Friday,Jonathan Liebesman,action,Wrath of the Titans,30/03/2012,WB,316.2,150,305.3,5.8,2.78,99,83.7
Friday,Simon West,action,The Expendables 2,17/08/2012,Lionsgate,316.3,100,305.4,6.7,3.08,103,85
Friday,Shawn Levy,action,Real Steel,07/10/2011,Buena Vista Studios,316.4,110,299.3,6.3,3.28,127,85.5
Friday,Steven Spielberg,adventure,A.I. Artificial Intelligence,29/06/2001,WB,316.8,90,235.9,7.1,3.21,146,78.6
Wednesday,Barry Sonnenfeld,action,Wild Wild West,30/06/1999,WB,317,175,222.1,4.8,2.31,106,113.8
Friday,Ang Lee,action,Hulk,20/06/2003,Universal,317.2,137,245.4,5.7,2.69,138,132.2
Friday,"Chris Wedge, Carlos Saldanha",animation,Robots,11/03/2005,Fox,317.4,80,260.7,6.3,3.28,91,128.2
Wednesday,Peter Ramsey,animation,Rise of the Guardians,21/11/2012,Pacific Data/DreamWorks,317.9,145,306.9,7.3,3.6,97,103.4
Friday,"Brenda Chapman, Steve Hickner, Simon Wells",animation,The Prince of Egypt,18/12/1998,DreamWorks,318.9,60,218.6,7,3.42,99,101.4
Friday,Richard Curtis,comedy,Love Actually,07/11/2003,Universal,319.1,45,246.9,7.7,3.8,135,59.7
Friday,Phillip Noyce,action,Salt,23/07/2010,Sony,320.1,110,293.5,6.4,3.33,100,118.3
Friday,Curtis Hanson,drama,8 Mile,08/11/2002,Universal,321.1,41,242.9,6.9,3.25,110,116.8
Friday,Martin Scorsese,drama,Shutter Island,19/02/2010,Paramount Pictures,321.5,80,294.8,8.1,3.91,138,128
Friday,Paul W.S. Anderson,action,Resident Evil: Afterlife,10/09/2010,Screen Gems,323,57.5,296.2,5.9,3.1,97,60.1
Friday,M. Night Shyamalan,mystery,The Village,30/07/2004,Buena Vista Studios,323.2,71.7,256.7,6.5,3.26,108,114.2
Friday,"Aaron Blaise, Robert A. Walker",animation,Brother Bear,24/10/2003,Buena Vista Studios,323.6,18,250.4,6.7,3.17,82,85.3
Friday,Hoyt Yeatman,action,G-Force,24/07/2009,Buena Vista Studios,324.6,82.5,292.8,5.1,2.55,88,119.4
Friday,James Wan,horror,The Conjuring,19/07/2013,WB,324.6,20,318,7.5,3.59,112,137.4
Friday,Olivier Megaton,action,Taken 3,09/01/2015,Fox,325.8,48,325.8,6.1,2.88,109,89.3
Friday,H.B. Halicki,action,Gone in 60 Seconds,09/05/2000,Buena Vista Studios,327.6,90,237.2,6.5,3.07,105,101.6
Friday,"Steve Martino, Jimmy Hayward",animation,Dr. Seuss' Horton Hears a Who!,14/03/2008,Fox,328.2,85,297.1,6.9,3.45,86,154.5
Wednesday,Mel Gibson,action,Braveheart,24/05/1995,Paramount Pictures,328.3,72,210.4,8.4,4.05,177,75.6
Friday,Gore Verbinski,horror,The Ring,18/10/2002,DreamWorks,329.5,48,249.3,7.1,3.43,115,129.1
Friday,"Steve Hickner, Simon J. Smith",animation,Bee Movie,02/11/2007,Pacific Data/DreamWorks,329.9,150,287.6,6.2,3.01,91,126.6
Friday,Stephen Sommers,animation,The Jungle Book,23/12/1994,Disney,330.2,27,205.8,7.6,3.38,111,141.8
Friday,Beeban Kidron,comedy,Bridget Jones: The Edge of Reason,12/11/2004,Universal,330.5,50,262.5,5.9,2.97,108,40.2
Friday,Steve Oedekerk,comedy,Ace Ventura: When Nature Calls,10/11/1995,WB,331.4,30,212.4,6.3,2.62,90,108.4
Friday,Tim Story,action,Fantastic Four: Rise of the Silver Surfer,15/06/2007,Fox,331.5,120,289,5.6,2.86,92,131.9
Friday,Simon West,action,Con Air,06/06/1997,Buena Vista Studios,331.9,80,224,6.8,3.19,115,101.1
Friday,"Phil Lord, Chris Miller",comedy,22 Jump Street,13/06/2014,Sony,332.8,50,331.3,7.1,3.5,112,191.7
Friday,Roberto Benigni,drama,Life Is Beautiful,23/10/1998,MiraMax,334.4,20,229.2,8.6,4.18,116,57.6
Friday,Gus Van Sant,drama,Good Will Hunting,05/12/1997,MiraMax,334.7,10,225.9,8.3,4.04,126,138.4
Friday,Joseph McGinty Nichol,action,Charlie's Angels: Full Throttle,27/06/2003,Sony,335,120,259.2,4.8,2.54,106,100.8
Friday,Dennis Dugan,comedy,Big Daddy,25/06/1999,Sony,335.2,30,234.8,6.4,3.12,93,163.5
Friday,Stephen Sommers,action,G.I. Joe: The Rise of Cobra,07/08/2009,Paramount Pictures,335.3,175,302.5,5.8,2.85,118,150.2
Friday,"Paul Weitz, Chris Weitz",comedy,American Pie,09/07/1999,Universal,336.2,12,235.5,7,3.34,95,102.6
Wednesday,Paul Weitz,comedy,Little Fockers,22/12/2010,Universal,338.8,100,310.7,5.4,2.7,98,148.4
Friday,Noam Murro,action,300: Rise of An Empire,07/03/2014,WB,339.1,110,337.6,6.3,2.93,102,106.6
Wednesday,Jonathan Demme,drama,Philadelphia,22/12/1993,TriStar,340.2,26,206.7,8.8,3.82,125,77.4
Friday,Ang Lee,action,The Incredible Hulk,20/06/2003,Universal,340.4,137,263.4,6.9,3.34,138,134.8
Friday,Martin Scorsese,thriller,The Departed,06/10/2006,WB,341.8,90,289.8,8.5,4.11,151,132.4
Friday,Wes Ball,action,The Maze Runner,19/09/2014,Fox,342.3,34,340.8,6.9,3.38,113,102.4
Friday,"Christopher Williams, Byron Howard",animation,Bolt,21/11/2008,Buena Vista Studios,342.4,150,310,6.9,3.53,96,114.1
Wednesday,M. Night Shyamalan,fantasy,Unbreakable,22/11/2000,Buena Vista Studios,342.6,73.2,248.1,7.2,3.48,106,95
Friday,John Lee Hancock,biography,The Blind Side,20/11/2009,WB,342.7,35,309.2,7.7,3.87,129,256
Friday,Quentin Tarantino,crime,Pulp Fiction,14/10/1994,MiraMax,343.2,8,213.9,8.9,4.16,154,107.9
Friday,Barry Levinson,drama,Disclosure,09/12/1994,WB,343.4,55,214,6,3.29,128,83
Friday,Nancy Meyers,comedy,Something's Gotta Give,12/12/2003,Sony,344.7,80,266.7,6.7,3.49,128,124.7
Wednesday,Phillip Noyce,action,Clear and Present Danger,03/08/1994,Paramount Pictures,346.4,62,215.9,6.9,3.67,141,122.2
Friday,David Dobkin,comedy,Wedding Crashers,15/07/2005,New Line Cinema,347.3,40,285.2,7,3.54,119,209.3
Saturday,Brad Peyton,adventure,Journey 2: The Mysterious Island,11/02/2012,WB,347.3,79,335.3,5.8,2.84,94,103.9
Thursday,M. Night Shyamalan,action,The Last Airbender,01/07/2010,Paramount Pictures,348.7,150,319.7,4.3,2.36,103,131.8
Friday,Joe Pytka,animation,Space Jam,15/11/1996,WB,349.2,80,230.4,6.2,2.73,88,90.4
Friday,Ridley Scott,action,Robin Hood,14/05/2010,Universal,350.8,180,321.7,6.7,3.19,140,105.3
Friday,Tom McGrath,animation,Megamind,05/11/2010,Pacific Data/DreamWorks,351.1,130,321.9,7.3,3.72,95,148.4
Friday,Anthony Minghella,romance,The English Patient,15/11/1996,MiraMax,351.6,35,232,7.4,3.65,162,78.7
Friday,Anne Fletcher,comedy,The Proposal,19/06/2009,Buena Vista Studios,351.8,40,317.4,6.7,3.52,108,164
Friday,Joel Schumacher,action,Batman and Robin,20/06/1997,WB,352.9,125,238.2,3.6,3.06,125,107.3
Friday,Michael Bay,action,Bad Boys II,18/07/2003,Sony,353.2,130,273.3,6.5,3.09,147,138.6
Friday,Steven Soderbergh,biography,Erin Brockovich,17/03/2000,Universal,353.9,50,256.3,7.3,3.6,130,125.6
Wednesday,Raja Gosnell,animation,The Smurfs 2,31/07/2013,Sony,354.7,110,347.5,5.4,2.28,105,71
Wednesday,"Daniel Myrick, Eduardo Sanchez",horror,The Blair Witch Project,14/07/1999,Art House Studios,354.9,0.6,248.6,6.4,2.88,81,140.5
Friday,"Quentin Tarantino, Eli Roth",adventure,Inglourious Basterds,21/08/2009,Weinstein Company,356.4,70,321.5,8.3,4.02,153,120.5
Friday,George Miller,action,Mad Max: Fury Road,15/05/2015,WB,356.4,150,356.4,8.5,3.95,120,147.1
Friday,Brett Ratner,action,Rush Hour,18/09/1998,New Line Cinema,356.6,35,244.4,6.9,3.41,98,141.2
Friday,Steven Soderbergh,thriller,Ocean's Thirteen,08/06/2007,WB,357.1,85,311.3,6.9,3.5,122,117.2
Friday,Baz Luhrmann,drama,The Great Gatsby (2013),10/05/2013,WB,358.3,190,351,7.3,3.49,142,144.8
Friday,Oliver Stone,thriller,JFK,20/12/1991,WB,358.6,40,205.4,6.4,3.2,188,70.4
Friday,Neil Jordan,drama,Interview with the Vampire,11/11/1994,WB,359,50,223.7,7.6,3.49,123,105.3
Friday,Louis Leterrier,thriller,Now You See Me,31/05/2013,Lionsgate/Summit,359,75,351.7,7.3,3.54,115,117.7
Friday,Darren Aronofsky,drama,Black Swan,03/12/2010,Fox Searchlight Pictures,359.2,13,329.4,8,3.88,108,107
Friday,Robert Zemeckis,animation,A Christmas Carol (2009),06/11/2009,Buena Vista Studios,360.6,190,325.3,6.9,3.24,96,137.9
Friday,"Dean DeBlois, Chris Sanders",animation,Lilo & Stitch,21/06/2002,Buena Vista Studios,361,80,273.1,7.1,3.49,85,145.8
Friday,"Chris Renaud, Kyle Balda",animation,Dr. Seuss' The Lorax,02/03/2012,Universal,361.3,67.5,348.8,6.5,3.17,86,214
Friday,Shawn Levy,adventure,Night at the Museum: Secret of the Tomb,19/12/2014,Fox,362,127,360.4,6.3,2.78,98,113.7
Friday,Gabriele Muccino,biography,The Pursuit of Happyness,15/12/2006,Sony,362.3,55,307.1,7.9,3.72,117,163.6
Friday,Mike Mitchell,animation,Alvin and the Chipmunks: Chipwrecked,16/12/2011,Fox,362.3,80,342.7,4.4,2.11,87,133.1
Friday,Paul Greengrass,action,The Bourne Supremacy,23/07/2004,Universal,363.2,85,288.5,7.8,3.85,108,176.2
Friday,Hayao Miyazaki,animation,Spirited Away,20/09/2002,Buena Vista Studios,363.4,19,274.9,8.6,4.21,125,10.1
Friday,John Woo,action,Face/Off,27/06/1997,Paramount Pictures,364,80,245.7,7.1,3.65,138,112.3
Friday,Darren Aronofsky,action,Noah,28/03/2014,Paramount Pictures,364.2,130,362.6,5.9,2.84,138,101.2
Friday,"Ray Patterson, Charles Nichols",animation,Scooby-Doo,14/06/2002,WB,364.4,84,275.7,4.9,2.4,90,153.3
Friday,Joseph McGinty Nichol,action,Charlie's Angels,03/11/2000,Sony,364.7,90,264.1,8.1,3.8,98,125.3
Friday,John McTiernan,action,The Hunt for Red October,02/03/1990,Paramount Pictures,364.8,30,200.5,7.6,3.86,134,122
Friday,Martin Campbell,action,The Mask of Zorro,17/07/1998,Sony,365.2,65,250.3,6.7,3.29,136,94.1
Friday,Tony Scott,action,Enemy of the State,20/11/1998,Buena Vista Studios,365.6,85,250.6,7.3,3.54,132,111.5
Friday,Francis Ford Coppola,horror,Bram Stoker's Dracula,13/11/1992,Colombia Pictures,365.9,40,215.9,5.6,3.1,128,82.5
Friday,Nora Ephron,romance,You've Got Mail,18/12/1998,WB,365.9,65,250.8,6.5,3.16,119,115.8
Friday,Rob Cohen,action,XXX,09/08/2002,Revolution Studios,366.7,70,277.4,5.8,2.81,124,142.1
Friday,Mike Newell,action,Prince of Persia: The Sands of Time,28/05/2010,Buena Vista Studios,366.9,200,336.4,6.6,3.26,116,90.8
Friday,Chuck Russell,action,Eraser,21/06/1996,WB,367.2,100,242.3,6,3.18,115,101.3
Friday,Jonathan Liebesman,action,Teenage Mutant Ninja Turtles,30/03/1990,New Line Cinema,367.5,93,202,6,2.81,101,135.3
Friday,Ivan Reitman,action,Kindergarten Cop,21/12/1990,Universal,367.5,26,202,5.9,2.82,111,91.5
Friday,Tim Johnson,animation,Home,27/03/2015,Fox,367.7,130,367.7,6.8,2.38,94,174.7
Thursday,David Fincher,drama,The Curious Case of Benjamin Button,25/12/2008,Paramount Pictures,368.8,160,333.9,7.8,3.65,166,127.5
Friday,Simon West,action,Lara Croft: Tomb Raider,15/06/2001,Paramount Pictures,368.9,94,274.7,5.7,2.77,100,131.2
