Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Runtime (min),US ($mill)
Friday,Kevin Reynolds,action,Robin Hood: Prince of Thieves,14/06/1991,WB,681.8,50,390.5,6.9,3.28,143,165.5
Friday,Zack Snyder,action,Man of Steel,14/06/2013,WB,681.9,225,668,7.2,3.4,143,291
Friday,Roland Emmerich,sci-fi,The Day After Tomorrow,28/05/2004,Fox,685.2,125,544.3,6.4,3.05,124,186.7
Friday,Lewis Gilbert,action,Moonraker,29/06/1979,MGM,688.8,31,210.3,6.2,3.16,126,70.3
Wednesday,Peter Berg,action,Hancock,02/07/2008,Sony,689.7,150,624.4,6.5,3.22,92,227.9
Friday,"John Lasseter, Lee Unkrich, Ash Brannon",animation,Toy Story 2,19/11/1999,Buena Vista Studios,692.3,90,485,5.9,2.53,92,245.9
Wednesday,Mick Jackson,romance,The Bodyguard,25/11/1992,WB,696.6,25,411,7,3.34,129,122
Thursday,Jennifer Yuh Nelson,animation,Kung Fu Panda,05/06/2008,Pacific Data/DreamWorks,697.7,130,631.7,7.6,3.72,92,215.4
Friday,Steven Spielberg,action,Saving Private Ryan,24/07/1998,DreamWorks,702.9,65,481.8,7.6,3.65,169,216.5
Thursday,Jennifer Yuh Nelson,animation,Kung Fu Panda 2,26/05/2011,Pacific Data/DreamWorks,703.8,150,665.7,7.3,3.57,90,165.2
Friday,Martin Campbell,action,Casino Royale,17/11/2006,Sony,706.6,102,599,8,3.85,144,167.4
Friday,Matt Reeves,action,Dawn of the Planet of the Apes,11/07/2014,Fox,712,170,708.8,7.7,3.61,130,208.5
Friday,Peter Faiman,adventure,Crocodile Dundee,26/09/1986,Paramount Pictures,712.1,5,328.2,6.5,3.12,93,174.8
Friday,Marc Webb,action,The Amazing Spider-Man 2,02/05/2014,Sony,712.2,200,709,6.8,3.22,142,202.9
Friday,Barry Levinson,drama,Rain Man,16/12/1988,MGM,713.2,25,354.8,8,3.91,133,172.8
Friday,"Brad Bird, Jan Pinkava",animation,Ratatouille,29/06/2007,Buena Vista Studios,715.5,150,623.7,8,3.88,111,206.4
Friday,Gary Ross,action,The Hunger Games,23/03/2012,Lionsgate,715.9,80,691.2,7.3,3.71,142,408
Friday,"Joe Russo, Anthony Russo",action,Captain America: The Winter Soldier,04/04/2014,Buena Vista Studios,718,170,714.8,7.8,3.72,136,259.8
Wednesday,Steven Spielberg,action,War of the Worlds,29/06/2005,Paramount Pictures,720.5,132,591.7,6.5,3.15,116,234.3
Wednesday,Martin Brest,action,Beverly Hills Cop,05/12/1984,Paramount Pictures,724.2,15,316.4,7.3,3.54,105,234.8
Wednesday,Chris Columbus,comedy,Mrs. Doubtfire,24/11/1993,Fox,726.3,25,441.3,8,3.73,125,219.2
Friday,Alfonso Cuar„n,drama,Gravity,04/10/2013,WB,731.3,110,716.4,7.9,3.75,91,274.1
Friday,Brad Bird,action,Mission: Impossible - Ghost Protocol,16/12/2011,Paramount Pictures,734.4,145,694.7,7.4,3.64,133,209.4
Wednesday,"Gary Trousdale, Kirk Wise",animation,Beauty and the Beast,13/11/1991,Buena Vista Studios,742,20,425,7.2,3.67,84,219
Friday,Jan de Bont,action,Twister,10/05/1996,WB,749.5,88,494.5,6.3,3.23,113,241.7
Friday,Bryan Singer,action,X-Men: Days of Future Past,23/05/2014,Fox,751.5,200,748.1,8.1,3.82,131,233.9
Friday,Bill Condon,adventure,The Twilight Saga: Breaking Dawn Part 1,18/11/2011,Summit Entertainment,752.9,127.5,712.2,5.6,2.49,117,281.3
Wednesday,John Woo,action,Mission: Impossible II,24/05/2000,Paramount Pictures,754.6,120,546.4,6,2.96,123,215.4
Friday,Francis Lawrence,adventure,The Hunger Games: Mockingjay - Part 1,21/11/2014,Lionsgate,755.5,125,752.1,6.8,3.47,123,337.1
Friday,"Pete Docter, Lee Unkrich, David Silverman",animation,"Monsters, Inc.",02/11/2001,Buena Vista Studios,755.7,115,562.8,8.1,3.88,92,289.9
Friday,Dan Scanlon,animation,Monsters University,21/06/2013,Buena Vista Studios,759.1,200,743.6,7.4,3.65,104,268.5
Wednesday,David Slade,drama,The Twilight Saga: Eclipse,30/06/2010,Summit Entertainment,761.8,68,698.5,4.9,2.67,124,300.5
Friday,Robert Stromberg,action,Maleficent,30/05/2014,Buena Vista Studios,761.8,180,758.4,7,3.37,97,241.4
Wednesday,Steven Spielberg,action,Indiana Jones and the Temple of Doom,23/05/1984,Paramount Pictures,762.4,28,333.1,7.6,3.68,118,179.9
